trade_date,ts_code,name,open,high,low,close,pre_close,change,pct_chg,vol,amount,turnover_rate,raw_open,raw_high,raw_low,raw_close,raw_pre_close,qfq_factor
2023-07-28,002594.SZ,比亚迪,84.31,86.86,83.72,86.64,84.47,2.17,2.568959,173308.0,4584230665.56,1.49,260.0,267.65,258.22,267.0,261.63,0.32449438
2023-07-31,002594.SZ,比亚迪,87.64,89.84,87.6,88.31,86.64,1.67,1.927516,215060.0,5874722582.93,1.85,270.0,276.58,269.88,272.0,267.0,0.32466912
2023-08-01,002594.SZ,比亚迪,88.23,88.56,86.48,87.14,88.31,-1.17,-1.324878,120340.0,3239067594.49,1.03,271.76,272.76,266.5,268.5,272.0,0.32454376
2023-08-02,002594.SZ,比亚迪,87.88,88.31,86.43,86.98,87.14,-0.16,-0.183613,87394.0,2346829431.29,0.75,270.7,272.0,266.36,268.0,268.5,0.32455224
2023-08-03,002594.SZ,比亚迪,86.74,87.14,86.15,87.05,86.98,0.07,0.080478,66170.0,1766952896.19,0.57,267.28,268.48,265.51,268.23,268.0,0.32453491
2023-08-04,002594.SZ,比亚迪,87.31,87.67,86.53,87.08,87.05,0.03,0.034463,88053.0,2358257628.14,0.76,268.99,270.07,266.65,268.3,268.23,0.32456206
2023-08-07,002594.SZ,比亚迪,86.95,86.95,86.04,86.64,87.08,-0.44,-0.505282,64204.0,1710317723.01,0.55,267.93,267.93,265.19,266.99,268.3,0.32450654
2023-08-08,002594.SZ,比亚迪,86.04,86.48,85.15,85.41,86.64,-1.23,-1.419668,91712.0,2419517104.52,0.79,265.2,266.5,262.51,263.3,266.99,0.32438283
2023-08-09,002594.SZ,比亚迪,84.98,85.48,84.39,85.28,85.41,-0.13,-0.152207,72499.0,1897124687.56,0.62,262.0,263.5,260.23,262.9,263.3,0.32438189
2023-08-10,002594.SZ,比亚迪,85.31,85.93,84.56,85.21,85.28,-0.07,-0.082083,60016.0,1575799641.46,0.52,263.0,264.87,260.74,262.7,262.9,0.32436239
2023-08-11,002594.SZ,比亚迪,85.21,85.21,83.98,84.06,85.21,-1.15,-1.349607,86125.0,2242256361.19,0.74,262.69,262.7,259.01,259.25,262.7,0.32424301
2023-08-14,002594.SZ,比亚迪,82.64,83.31,78.81,79.58,84.06,-4.48,-5.329527,252890.0,6237439722.0,2.17,255.0,256.99,243.49,245.82,259.25,0.32373281
2023-08-15,002594.SZ,比亚迪,79.58,79.69,78.28,79.16,79.58,-0.42,-0.527771,115021.0,2804377792.91,0.99,245.82,246.13,241.9,244.54,245.82,0.32370982
2023-08-16,002594.SZ,比亚迪,78.74,79.48,78.38,79.04,79.16,-0.12,-0.151592,79979.0,1953463841.64,0.69,243.28,245.5,242.21,244.2,244.54,0.32366912
2023-08-17,002594.SZ,比亚迪,78.77,79.76,77.78,79.65,79.04,0.61,0.771761,86836.0,2118628433.05,0.75,243.37,246.34,240.4,246.01,244.2,0.32376733
2023-08-18,002594.SZ,比亚迪,79.5,79.5,77.64,77.74,79.65,-1.91,-2.397991,98467.0,2385483842.91,0.85,245.56,245.56,240.0,240.29,246.01,0.32352574
2023-08-21,002594.SZ,比亚迪,77.58,77.6,75.66,75.78,77.74,-1.96,-2.521225,127879.0,3022536162.14,1.1,239.8,239.88,234.05,234.41,240.29,0.32327972
2023-08-22,002594.SZ,比亚迪,76.97,77.14,74.61,75.82,75.78,0.04,0.052784,112116.0,2620973083.49,0.96,237.97,238.5,230.9,234.54,234.41,0.32327108
2023-08-23,002594.SZ,比亚迪,75.82,75.82,74.32,74.34,75.82,-1.48,-1.951992,81238.0,1882331986.32,0.7,234.54,234.54,230.03,230.09,234.54,0.32309096
2023-08-24,002594.SZ,比亚迪,74.65,76.64,74.65,75.94,74.34,1.6,2.152273,106811.0,2501734160.95,0.92,231.01,237.0,231.01,234.9,230.09,0.3232865
2023-08-25,002594.SZ,比亚迪,75.4,75.75,74.81,75.18,75.94,-0.76,-1.00079,66775.0,1554437026.78,0.57,233.28,234.33,231.5,232.6,234.9,0.32321582
2023-08-28,002594.SZ,比亚迪,80.31,80.31,75.73,76.15,75.18,0.97,1.290237,133527.0,3189524811.18,1.15,248.0,248.0,234.25,235.53,232.6,0.32331338
2023-08-29,002594.SZ,比亚迪,76.58,80.14,76.58,79.88,76.15,3.73,4.898227,213223.0,5201525920.49,1.83,236.81,247.5,236.81,246.71,235.53,0.32378096
2023-08-30,002594.SZ,比亚迪,80.75,81.47,80.26,80.91,79.88,1.03,1.289434,152187.0,3798606951.32,1.31,249.33,251.47,247.84,249.8,246.71,0.32389912
2023-08-31,002594.SZ,比亚迪,81.15,81.31,80.31,80.78,80.91,-0.13,-0.160672,88734.0,2214559038.93,0.76,250.51,250.99,248.0,249.4,249.8,0.32389735
2023-09-01,002594.SZ,比亚迪,81.98,82.47,80.31,80.68,80.78,-0.1,-0.123793,77772.0,1949444068.95,0.67,253.0,254.47,248.0,249.12,249.4,0.32385999
2023-09-04,002594.SZ,比亚迪,81.51,81.98,80.6,81.79,80.68,1.11,1.375806,96512.0,2427791468.68,0.83,251.6,253.0,248.88,252.45,249.12,0.32398495
2023-09-05,002594.SZ,比亚迪,81.71,81.71,80.54,80.65,81.79,-1.14,-1.393813,74571.0,1864915960.48,0.64,252.2,252.2,248.69,249.03,252.45,0.32385656
2023-09-06,002594.SZ,比亚迪,80.98,81.74,80.74,81.13,80.65,0.48,0.595164,65929.0,1653726026.59,0.57,250.0,252.3,249.3,250.45,249.03,0.32393691
2023-09-07,002594.SZ,比亚迪,81.12,81.12,80.35,80.44,81.13,-0.69,-0.850487,60913.0,1517662851.65,0.52,250.42,250.42,248.11,248.4,250.45,0.32383253
2023-09-08,002594.SZ,比亚迪,79.98,79.98,78.54,78.99,80.44,-1.45,-1.802586,67634.0,1651599177.69,0.58,247.01,247.01,242.69,244.05,248.4,0.32366318
2023-09-11,002594.SZ,比亚迪,78.88,80.48,78.38,79.98,78.99,0.99,1.253323,76513.0,1876707032.36,0.66,243.7,248.5,242.2,247.01,244.05,0.32379256
2023-09-12,002594.SZ,比亚迪,80.54,82.1,80.01,81.64,79.98,1.66,2.075519,119532.0,3004363229.2,1.03,248.7,253.37,247.1,251.99,247.01,0.32398111
2023-09-13,002594.SZ,比亚迪,81.64,82.4,81.11,81.49,81.64,-0.15,-0.183733,91479.0,2305291959.71,0.79,252.0,254.28,250.4,251.55,251.99,0.3239515
2023-09-14,002594.SZ,比亚迪,79.91,79.96,78.31,78.85,81.49,-2.64,-3.239661,152580.0,3722930909.04,1.31,246.8,246.95,242.0,243.63,251.55,0.32364651
2023-09-15,002594.SZ,比亚迪,78.98,79.92,78.15,79.07,78.85,0.22,0.279011,82256.0,2010812283.73,0.71,244.0,246.84,241.51,244.29,243.63,0.32367268
2023-09-18,002594.SZ,比亚迪,79.14,81.38,79.07,80.1,79.07,1.03,1.302643,96405.0,2395846502.98,0.83,244.5,251.2,244.29,247.38,244.29,0.32379335
2023-09-19,002594.SZ,比亚迪,79.64,80.4,78.91,80.03,80.1,-0.07,-0.087391,62397.0,1533948926.6,0.54,246.0,248.28,243.8,247.17,247.38,0.32378525
2023-09-20,002594.SZ,比亚迪,79.31,79.74,78.98,78.98,80.03,-1.05,-1.312008,54497.0,1332673932.91,0.47,245.0,246.28,244.0,244.0,247.17,0.32368852
2023-09-21,002594.SZ,比亚迪,78.64,78.93,77.16,77.54,78.98,-1.44,-1.823246,92965.0,2232606210.05,0.8,243.0,243.87,238.55,239.68,244.0,0.32351469
2023-09-22,002594.SZ,比亚迪,77.48,79.53,77.14,79.33,77.54,1.79,2.308486,96764.0,2356419361.2,0.83,239.52,245.66,238.5,245.05,239.68,0.32372985
2023-09-25,002594.SZ,比亚迪,79.92,79.97,79.09,79.58,79.33,0.25,0.315139,64787.0,1592828380.15,0.56,246.83,246.98,244.35,245.8,245.05,0.32375915
2023-09-26,002594.SZ,比亚迪,79.31,79.31,77.08,77.14,79.58,-2.44,-3.066097,118463.0,2846103699.66,1.02,245.0,245.0,238.3,238.5,245.8,0.32343816
2023-09-27,002594.SZ,比亚迪,77.35,78.38,76.91,76.92,77.14,-0.22,-0.285196,75734.0,1808518865.65,0.65,239.11,242.22,237.79,237.83,238.5,0.32342429
2023-09-28,002594.SZ,比亚迪,77.24,77.48,76.33,76.54,76.92,-0.38,-0.49402,85258.0,2022931183.51,0.73,238.8,239.5,236.05,236.7,237.83,0.32336291
2023-10-09,002594.SZ,比亚迪,76.54,77.15,74.2,76.97,76.54,0.43,0.561798,91791.0,2162900146.9,0.79,236.7,238.51,229.66,237.97,236.7,0.32344413
2023-10-10,002594.SZ,比亚迪,76.96,77.65,76.64,76.95,76.97,-0.02,-0.025984,63937.0,1524841110.79,0.55,237.96,240.02,237.0,237.91,237.97,0.32344164
2023-10-11,002594.SZ,比亚迪,78.3,78.48,76.98,77.17,76.95,0.22,0.2859,76684.0,1838352973.98,0.66,241.96,242.5,238.0,238.59,237.91,0.32344189
2023-10-12,002594.SZ,比亚迪,77.78,79.48,77.31,79.13,77.17,1.96,2.539847,139341.0,3391600251.18,1.2,240.4,245.5,239.0,244.45,238.59,0.32370628
2023-10-13,002594.SZ,比亚迪,78.28,78.57,77.58,77.76,79.13,-1.37,-1.731328,66445.0,1598611951.89,0.57,241.9,242.77,239.8,240.36,244.45,0.32351473
2023-10-16,002594.SZ,比亚迪,77.78,78.0,76.48,76.81,77.76,-0.95,-1.221708,66022.0,1573224653.24,0.57,240.4,241.08,236.5,237.51,240.36,0.32339691
2023-10-17,002594.SZ,比亚迪,76.82,77.64,76.48,76.98,76.81,0.17,0.221325,49164.0,1169236111.59,0.42,237.52,239.99,236.5,238.0,237.51,0.32344538
2023-10-18,002594.SZ,比亚迪,79.51,81.31,78.98,80.67,76.98,3.69,4.793453,307863.0,7646061770.59,2.64,245.6,251.0,244.0,249.07,238.0,0.32388485
2023-10-19,002594.SZ,比亚迪,79.96,80.3,77.76,77.84,80.67,-2.83,-3.508119,147753.0,3595894522.39,1.27,246.95,247.97,240.34,240.6,249.07,0.32352452
2023-10-20,002594.SZ,比亚迪,77.64,78.24,77.05,77.38,77.84,-0.46,-0.590956,85659.0,2050294970.85,0.74,240.0,241.8,238.21,239.2,240.6,0.32349498
2023-10-23,002594.SZ,比亚迪,77.64,77.64,76.38,77.19,77.38,-0.19,-0.245541,73537.0,1747793907.15,0.63,240.0,240.0,236.2,238.65,239.2,0.32344437
2023-10-24,002594.SZ,比亚迪,77.41,77.81,75.87,76.16,77.19,-1.03,-1.33437,110779.0,2614866693.57,0.95,239.3,240.5,234.67,235.55,238.65,0.32332838
2023-10-25,002594.SZ,比亚迪,76.97,77.65,76.38,76.78,76.16,0.62,0.814076,83676.0,1993861827.76,0.72,237.97,240.01,236.22,237.4,235.55,0.32342039
2023-10-26,002594.SZ,比亚迪,76.33,77.24,76.21,77.18,76.78,0.4,0.520969,73199.0,1738279509.52,0.63,236.06,238.8,235.7,238.61,237.4,0.32345669
2023-10-27,002594.SZ,比亚迪,76.98,78.81,76.82,78.29,77.18,1.11,1.438196,103206.0,2490630304.57,0.89,238.0,243.5,237.52,241.95,238.61,0.32357925
2023-10-30,002594.SZ,比亚迪,77.48,79.31,77.21,79.18,78.29,0.89,1.136799,117295.0,2849732929.01,1.01,239.51,244.99,238.7,244.6,241.95,0.32371218
2023-10-31,002594.SZ,比亚迪,78.81,78.97,76.81,77.16,79.18,-2.02,-2.551149,127205.0,3044814889.04,1.09,243.5,243.99,237.5,238.54,244.6,0.32346776
2023-11-01,002594.SZ,比亚迪,76.98,76.98,76.12,76.38,77.16,-0.78,-1.010886,93390.0,2206820550.57,0.8,238.0,238.0,235.42,236.2,238.54,0.32337003
2023-11-02,002594.SZ,比亚迪,76.93,76.94,75.91,75.91,76.38,-0.47,-0.615344,85414.0,2015702321.15,0.73,237.86,237.88,234.8,234.8,236.2,0.32329642
2023-11-03,002594.SZ,比亚迪,76.15,77.36,75.94,77.19,75.91,1.28,1.686207,90679.0,2154652391.25,0.78,235.51,239.15,234.88,238.65,234.8,0.32344437
2023-11-06,002594.SZ,比亚迪,77.81,78.79,77.64,78.61,77.19,1.42,1.839617,143548.0,3472633480.41,1.23,240.51,243.43,240.0,242.9,238.65,0.32363112
2023-11-07,002594.SZ,比亚迪,78.64,79.08,77.81,77.97,78.61,-0.64,-0.814146,94513.0,2287202177.21,0.81,243.0,244.3,240.51,240.97,242.9,0.32356725
2023-11-08,002594.SZ,比亚迪,77.76,77.93,77.37,77.64,77.97,-0.33,-0.42324,80128.0,1921682141.44,0.69,240.36,240.86,239.18,240.0,240.97,0.3235
2023-11-09,002594.SZ,比亚迪,77.64,77.89,77.09,77.41,77.64,-0.23,-0.296239,73183.0,1750698708.03,0.63,240.0,240.75,238.34,239.3,240.0,0.32348517
2023-11-10,002594.SZ,比亚迪,77.31,77.31,76.2,76.63,77.41,-0.78,-1.007622,81902.0,1940054002.55,0.7,239.0,239.0,235.66,236.96,239.3,0.32338791
2023-11-13,002594.SZ,比亚迪,76.94,77.04,76.01,76.68,76.63,0.05,0.065249,69738.0,1649215950.55,0.6,237.88,238.18,235.1,237.12,236.96,0.32338057
2023-11-14,002594.SZ,比亚迪,76.74,77.04,76.51,76.85,76.68,0.17,0.221701,55217.0,1310694854.05,0.47,237.3,238.2,236.6,237.63,237.12,0.32340193
2023-11-15,002594.SZ,比亚迪,77.61,77.64,77.08,77.19,76.85,0.34,0.44242,78692.0,1881360640.9,0.68,239.9,240.0,238.3,238.64,237.63,0.32345793
2023-11-16,002594.SZ,比亚迪,77.58,77.58,76.72,77.08,77.19,-0.11,-0.142506,61690.0,1471253077.4,0.53,239.8,239.8,237.22,238.3,238.64,0.32345783
2023-11-17,002594.SZ,比亚迪,76.64,77.17,76.31,76.56,77.08,-0.52,-0.674624,59462.0,1408060177.59,0.51,237.0,238.59,236.0,236.76,238.3,0.32336543
2023-11-20,002594.SZ,比亚迪,76.24,76.48,75.84,75.98,76.56,-0.58,-0.757576,76771.0,1804923944.25,0.66,235.8,236.5,234.58,235.0,236.76,0.32331915
2023-11-21,002594.SZ,比亚迪,76.21,76.54,75.53,75.71,75.98,-0.27,-0.355357,82386.0,1937039109.31,0.71,235.69,236.68,233.66,234.2,235.0,0.32327071
2023-11-22,002594.SZ,比亚迪,75.48,75.48,74.27,74.31,75.71,-1.4,-1.849161,105571.0,2440478826.77,0.91,233.5,233.5,229.88,230.0,234.2,0.32308696
2023-11-23,002594.SZ,比亚迪,74.48,74.74,73.35,73.92,74.31,-0.39,-0.524828,105764.0,2425947586.33,0.91,230.5,231.28,227.12,228.83,230.0,0.32303457
2023-11-24,002594.SZ,比亚迪,73.91,73.91,69.44,69.93,73.92,-3.99,-5.397727,280659.0,6162803841.07,2.41,228.8,228.8,215.4,216.85,228.83,0.32248098
2023-11-27,002594.SZ,比亚迪,68.31,68.31,65.98,67.28,69.93,-2.65,-3.789504,215481.0,4487132026.79,1.85,212.0,212.0,205.0,208.9,216.85,0.32206798
2023-11-28,002594.SZ,比亚迪,67.28,68.23,66.65,67.61,67.28,0.33,0.490488,122211.0,2562912238.29,1.05,208.92,211.77,207.01,209.91,208.9,0.32209042
2023-11-29,002594.SZ,比亚迪,67.6,67.61,64.77,64.97,67.61,-2.64,-3.904748,219246.0,4464902232.03,1.88,209.88,209.9,201.39,201.98,209.91,0.32166551
2023-11-30,002594.SZ,比亚迪,64.84,65.22,63.79,64.03,64.97,-0.94,-1.446822,187242.0,3745049005.82,1.61,201.6,202.73,198.45,199.15,201.98,0.32151644
2023-12-01,002594.SZ,比亚迪,64.47,64.58,61.91,63.33,64.03,-0.7,-1.093238,194190.0,3799477664.21,1.67,200.48,200.82,192.81,197.05,199.15,0.32139051
2023-12-04,002594.SZ,比亚迪,63.33,64.07,62.18,63.11,63.33,-0.22,-0.347387,117613.0,2317283540.3,1.01,197.05,199.29,193.6,196.39,197.05,0.32135037
2023-12-05,002594.SZ,比亚迪,63.31,64.3,62.85,63.09,63.11,-0.02,-0.031691,152372.0,3021632365.0,1.31,197.0,199.96,195.61,196.34,196.39,0.32133035
2023-12-06,002594.SZ,比亚迪,63.09,64.72,62.98,64.71,63.09,1.62,2.56776,176347.0,3523669817.72,1.51,196.35,201.24,196.0,201.19,196.34,0.32163626
2023-12-07,002594.SZ,比亚迪,64.71,64.71,63.41,64.13,64.71,-0.58,-0.896307,103169.0,2051259486.34,0.89,201.19,201.2,197.3,199.45,201.19,0.32153422
2023-12-08,002594.SZ,比亚迪,63.99,64.43,63.75,63.83,64.13,-0.3,-0.4678,77700.0,1547061882.45,0.67,199.03,200.36,198.32,198.55,199.45,0.32148074
2023-12-11,002594.SZ,比亚迪,63.23,64.17,62.52,64.04,63.83,0.21,0.328999,101086.0,1989856427.67,0.87,196.75,199.58,194.64,199.19,198.55,0.32150208
2023-12-12,002594.SZ,比亚迪,63.7,63.89,63.02,63.09,64.04,-0.95,-1.483448,79797.0,1572793711.16,0.69,198.18,198.73,196.12,196.33,199.19,0.32134671
2023-12-13,002594.SZ,比亚迪,62.92,62.92,61.55,61.58,63.09,-1.51,-2.393406,117535.0,2270646820.88,1.01,195.82,195.82,191.72,191.8,196.33,0.32106361
2023-12-14,002594.SZ,比亚迪,61.98,63.04,61.35,61.37,61.58,-0.21,-0.34102,92497.0,1787086925.23,0.79,193.0,196.18,191.11,191.18,191.8,0.32100638
2023-12-15,002594.SZ,比亚迪,62.0,62.44,61.34,62.07,61.37,0.7,1.140622,101841.0,1966549057.21,0.87,193.08,194.39,191.08,193.28,191.18,0.32114031
2023-12-18,002594.SZ,比亚迪,61.33,61.81,60.41,60.66,62.07,-1.41,-2.271629,100511.0,1906643035.57,0.86,191.06,192.5,188.31,189.06,193.28,0.32085052
2023-12-19,002594.SZ,比亚迪,60.49,60.54,59.7,60.31,60.66,-0.35,-0.576986,79370.0,1487629708.83,0.68,188.53,188.68,186.16,188.0,189.06,0.32079787
2023-12-20,002594.SZ,比亚迪,60.42,60.75,59.27,59.27,60.31,-1.04,-1.724424,84925.0,1585187696.77,0.73,188.33,189.33,184.87,184.88,188.0,0.32058633
2023-12-21,002594.SZ,比亚迪,58.75,60.97,58.59,60.87,59.27,1.6,2.699511,133149.0,2494208947.45,1.14,183.33,189.98,182.85,189.68,184.88,0.3209089
2023-12-22,002594.SZ,比亚迪,60.94,62.77,60.32,61.73,60.87,0.86,1.412847,117998.0,2267509852.29,1.01,189.9,195.38,188.04,192.25,189.68,0.32109233
2023-12-25,002594.SZ,比亚迪,61.98,62.38,61.05,61.7,61.73,-0.03,-0.048599,53770.0,1032287275.25,0.46,193.0,194.2,190.21,192.18,192.25,0.32105318
2023-12-26,002594.SZ,比亚迪,61.7,61.7,60.98,61.56,61.7,-0.14,-0.226904,41380.0,790091023.1,0.36,192.16,192.16,190.0,191.75,192.18,0.32104302
2023-12-27,002594.SZ,比亚迪,61.98,62.14,61.21,61.46,61.56,-0.1,-0.162443,61364.0,1174486108.27,0.53,193.0,193.5,190.7,191.45,191.75,0.32102377
2023-12-28,002594.SZ,比亚迪,61.32,63.86,61.2,63.66,61.46,2.2,3.579564,138778.0,2722971139.94,1.19,191.03,198.66,190.66,198.05,191.45,0.32143398
2023-12-29,002594.SZ,比亚迪,63.97,64.24,63.36,63.64,63.66,-0.02,-0.031417,80367.0,1591969845.9,0.69,198.97,199.8,197.15,198.0,198.05,0.32141414
2024-01-02,002594.SZ,比亚迪,64.18,64.18,61.77,61.84,63.64,-1.8,-2.82841,113928.0,2212162400.36,0.98,199.61,199.62,192.37,192.6,198.0,0.32107996
2024-01-03,002594.SZ,比亚迪,61.81,62.27,61.21,62.03,61.84,0.19,0.307245,84486.0,1624093056.05,0.73,192.5,193.87,190.7,193.17,192.6,0.32111612
2024-01-04,002594.SZ,比亚迪,62.42,62.53,61.34,61.98,62.03,-0.05,-0.080606,89870.0,1731882120.2,0.77,194.34,194.65,191.1,193.02,193.17,0.32110662
2024-01-05,002594.SZ,比亚迪,61.8,63.48,61.35,61.87,61.98,-0.11,-0.177477,112402.0,2187835615.06,0.97,192.47,197.5,191.13,192.68,193.02,0.32110235
2024-01-08,002594.SZ,比亚迪,61.91,62.2,60.69,60.78,61.87,-1.09,-1.761759,81078.0,1543893918.74,0.7,192.8,193.66,189.15,189.4,192.68,0.32090813
2024-01-09,002594.SZ,比亚迪,61.31,62.98,61.04,61.93,60.78,1.15,1.89207,112187.0,2167747851.79,0.96,191.0,196.0,190.2,192.86,189.4,0.32111376
2024-01-10,002594.SZ,比亚迪,61.54,62.08,60.84,61.07,61.93,-0.86,-1.388665,71416.0,1364589161.69,0.61,191.7,193.3,189.6,190.29,192.86,0.32093121
2024-01-11,002594.SZ,比亚迪,61.04,63.88,60.58,63.24,61.07,2.17,3.553299,159862.0,3120354835.76,1.37,190.2,198.7,188.81,196.78,190.29,0.32137412
2024-01-12,002594.SZ,比亚迪,63.24,63.73,62.74,62.93,63.24,-0.31,-0.490196,87023.0,1711086655.61,0.75,196.78,198.25,195.29,195.87,196.78,0.32128453
2024-01-15,002594.SZ,比亚迪,62.55,63.31,61.78,62.51,62.93,-0.42,-0.667408,70220.0,1364639692.18,0.6,194.72,197.0,192.42,194.61,195.87,0.32120652
2024-01-16,002594.SZ,比亚迪,62.28,63.16,62.0,62.74,62.51,0.23,0.367941,83809.0,1633959522.52,0.72,193.9,196.55,193.07,195.3,194.61,0.32124936
2024-01-17,002594.SZ,比亚迪,62.38,62.49,59.91,59.91,62.74,-2.83,-4.510679,160795.0,3050944390.44,1.38,194.2,194.55,186.8,186.8,195.3,0.32071734
2024-01-18,002594.SZ,比亚迪,59.53,61.31,59.28,61.14,59.91,1.23,2.05308,114592.0,2150839668.13,0.98,185.65,191.0,184.91,190.48,186.8,0.32097858
2024-01-19,002594.SZ,比亚迪,60.81,61.96,60.54,60.76,61.14,-0.38,-0.621524,80905.0,1540978198.75,0.69,189.49,192.96,188.7,189.34,190.48,0.32090419
2024-01-22,002594.SZ,比亚迪,60.6,61.41,59.16,59.42,60.76,-1.34,-2.205398,132240.0,2487370788.56,1.14,188.87,191.3,184.56,185.34,189.34,0.32059998
2024-01-23,002594.SZ,比亚迪,59.31,60.63,59.08,60.26,59.42,0.84,1.413665,110726.0,2072060503.59,0.95,185.0,188.96,184.3,187.85,185.34,0.32078786
2024-01-24,002594.SZ,比亚迪,60.74,60.93,59.0,60.54,60.26,0.28,0.464653,96641.0,1805379382.4,0.83,189.28,189.85,184.08,188.7,187.85,0.32082671
2024-01-25,002594.SZ,比亚迪,60.6,61.28,59.53,60.94,60.54,0.4,0.66072,130769.0,2470818453.07,1.12,188.88,190.9,185.66,189.9,188.7,0.32090574
2024-01-26,002594.SZ,比亚迪,60.64,60.64,59.48,59.6,60.94,-1.34,-2.198884,115855.0,2160578276.22,1.0,189.0,189.0,185.5,185.86,189.9,0.32067147
2024-01-29,002594.SZ,比亚迪,59.61,59.64,57.08,57.12,59.6,-2.48,-4.161074,146043.0,2647388165.71,1.25,185.9,186.0,178.31,178.44,185.86,0.3201076
2024-01-30,002594.SZ,比亚迪,55.34,56.14,54.41,54.97,57.12,-2.15,-3.764006,190761.0,3296016841.46,1.64,173.08,175.48,170.3,171.97,178.44,0.31964878
2024-01-31,002594.SZ,比亚迪,54.67,56.07,54.42,54.55,54.97,-0.42,-0.764053,125368.0,2155163736.0,1.08,171.09,175.28,170.32,170.73,171.97,0.31951034
2024-02-01,002594.SZ,比亚迪,54.31,55.31,53.76,54.61,54.55,0.06,0.109991,116651.0,1996429636.62,1.0,170.0,173.0,168.36,170.89,170.73,0.31956229
2024-02-02,002594.SZ,比亚迪,54.63,54.94,51.98,53.31,54.61,-1.3,-2.380516,147992.0,2485326236.05,1.27,170.96,171.88,163.01,167.0,170.89,0.31922156
2024-02-05,002594.SZ,比亚迪,52.64,54.9,51.9,53.64,53.31,0.33,0.619021,186216.0,3122618402.6,1.6,165.0,171.78,162.77,168.0,167.0,0.31928571
2024-02-06,002594.SZ,比亚迪,52.98,56.35,52.81,56.27,53.64,2.63,4.903057,176190.0,3054635572.85,1.51,166.0,176.11,165.5,175.87,168.0,0.31995224
2024-02-07,002594.SZ,比亚迪,56.73,58.64,56.34,57.5,56.27,1.23,2.185889,160094.0,2880398921.91,1.38,177.25,183.0,176.1,179.56,175.87,0.32022722
2024-02-08,002594.SZ,比亚迪,58.14,58.76,57.88,58.03,57.5,0.53,0.921739,119246.0,2168509150.22,1.02,181.49,183.35,180.7,181.17,179.56,0.32030689
2024-02-19,002594.SZ,比亚迪,58.94,59.43,58.26,58.81,58.03,0.78,1.344132,119687.0,2192419553.49,1.03,183.88,185.35,181.84,183.5,181.17,0.32049046
2024-02-20,002594.SZ,比亚迪,58.81,58.87,56.64,57.32,58.81,-1.49,-2.533583,113357.0,2023820071.64,0.97,183.5,183.68,177.0,179.02,183.5,0.32018769
2024-02-21,002594.SZ,比亚迪,56.68,59.51,56.53,58.64,57.32,1.32,2.302861,147693.0,2700340930.5,1.27,177.1,185.6,176.66,183.0,179.02,0.32043716
2024-02-22,002594.SZ,比亚迪,58.61,58.86,58.06,58.64,58.64,0.0,0.0,80906.0,1476863326.44,0.69,182.9,183.64,181.26,182.99,183.0,0.32045467
2024-02-23,002594.SZ,比亚迪,58.64,58.97,57.92,58.54,58.64,-0.1,-0.170532,91175.0,1660682308.43,0.78,182.99,183.99,180.83,182.68,182.99,0.32045106
