trade_date,ts_code,name,open,high,low,close,pre_close,change,pct_chg,vol,amount,turnover_rate
2026-01-19,002594.SZ,比亚迪,96.81,97.3,95.77,96.19,95.86,0.33,0.344252,334927.0,3227653861.74,0.96
2026-01-20,002594.SZ,比亚迪,96.22,96.26,94.68,94.74,96.19,-1.45,-1.507433,389149.0,3699337566.25,1.12
2026-01-21,002594.SZ,比亚迪,94.01,94.94,94.0,94.1,94.74,-0.64,-0.675533,308334.0,2910327666.12,0.88
2026-01-22,002594.SZ,比亚迪,94.72,95.13,93.89,94.12,94.1,0.02,0.021254,291014.0,2741536605.29,0.83
2026-01-23,002594.SZ,比亚迪,94.24,94.36,93.51,93.65,94.12,-0.47,-0.499363,383303.0,3598066420.86,1.1
2026-01-26,002594.SZ,比亚迪,93.65,93.66,92.5,92.63,93.65,-1.02,-1.089162,375460.0,3485372554.28,1.08
2026-01-27,002594.SZ,比亚迪,92.67,92.99,91.8,91.81,92.63,-0.82,-0.885242,362981.0,3340756010.26,1.04
2026-01-28,002594.SZ,比亚迪,91.8,93.5,90.01,93.34,91.81,1.53,1.666485,715566.0,6553150013.29,2.05
2026-01-29,002594.SZ,比亚迪,92.66,92.92,91.61,92.31,93.34,-1.03,-1.103493,371825.0,3423462524.93,1.07
2026-01-30,002594.SZ,比亚迪,92.27,92.27,90.7,90.89,92.31,-1.42,-1.538295,329176.0,3001871204.27,0.94
2026-02-02,002594.SZ,比亚迪,88.0,89.09,86.97,87.05,90.89,-3.84,-4.224887,646974.0,5676850726.51,1.86
2026-02-03,002594.SZ,比亚迪,87.2,87.4,85.88,87.37,87.05,0.32,0.367605,377827.0,3275997178.85,1.08
2026-02-04,002594.SZ,比亚迪,86.99,89.33,86.45,89.14,87.37,1.77,2.025867,376505.0,3322530225.39,1.08
2026-02-05,002594.SZ,比亚迪,88.5,91.23,88.33,90.11,89.14,0.97,1.088176,354240.0,3184480192.98,1.02
2026-02-06,002594.SZ,比亚迪,89.39,90.66,89.0,89.82,90.11,-0.29,-0.321829,247088.0,2217096985.32,0.71
2026-02-09,002594.SZ,比亚迪,90.5,90.65,89.83,90.06,89.82,0.24,0.267201,208180.0,1875980039.28,0.6
2026-02-10,002594.SZ,比亚迪,90.0,91.57,89.84,90.81,90.06,0.75,0.832778,267605.0,2434219974.85,0.77
2026-02-11,002594.SZ,比亚迪,90.88,92.95,90.88,92.28,90.81,1.47,1.618764,396950.0,3662117778.54,1.14
2026-02-12,002594.SZ,比亚迪,92.29,92.35,91.08,91.16,92.28,-1.12,-1.213697,230313.0,2106032227.12,0.66
2026-02-13,002594.SZ,比亚迪,90.05,91.09,89.88,90.27,91.16,-0.89,-0.976305,217339.0,1963579416.68,0.62
2026-02-24,002594.SZ,比亚迪,91.98,91.99,90.61,90.87,90.27,0.6,0.664673,206445.0,1879888761.45,0.59
2026-02-25,002594.SZ,比亚迪,90.89,92.79,90.89,91.45,90.87,0.58,0.638274,324780.0,2985714580.09,0.93
2026-02-26,002594.SZ,比亚迪,91.4,91.4,89.61,89.85,91.45,-1.6,-1.74959,291019.0,2619922211.49,0.83
2026-02-27,002594.SZ,比亚迪,89.4,89.94,89.1,89.32,89.85,-0.53,-0.589872,219341.0,1962319079.4,0.63
2026-03-02,002594.SZ,比亚迪,88.0,97.25,87.72,96.79,89.32,7.47,8.363189,1435137.0,13507227574.29,4.12
2026-03-03,002594.SZ,比亚迪,96.39,96.99,93.99,95.21,96.79,-1.58,-1.6324,865741.0,8272503575.74,2.48
2026-03-04,002594.SZ,比亚迪,95.2,96.8,93.7,95.99,95.21,0.78,0.819242,700969.0,6674964517.79,2.01
2026-03-05,002594.SZ,比亚迪,96.8,96.82,93.89,94.47,95.99,-1.52,-1.583498,552440.0,5235746090.45,1.58
2026-03-06,002594.SZ,比亚迪,96.0,96.0,93.25,93.62,94.47,-0.85,-0.899757,503540.0,4743654924.93,1.44
2026-03-09,002594.SZ,比亚迪,93.62,98.0,93.0,97.52,93.62,3.9,4.165777,1093409.0,10562485734.53,3.14
2026-03-10,002594.SZ,比亚迪,97.18,97.49,96.08,96.6,97.52,-0.92,-0.943396,507462.0,4907397250.96,1.46
