模型,特征,重要性或系数,类型
随机森林,经营活动产生的现金流量净额(同比增长率)_截面分位,0.014118598757018526,特征重要性
随机森林,营业利润(同比增长率)_截面分位,0.030407816263745495,特征重要性
随机森林,营业总收入(同比增长率)_截面分位,0.015436628052193637,特征重要性
随机森林,营业收入(同比增长率)_截面分位,0.016437555243464998,特征重要性
随机森林,ret_lag_1q,0.056138879863867244,特征重要性
随机森林,ret_mean_4q,0.044891925214615026,特征重要性
随机森林,ret_vol_4q,0.03169000255693221,特征重要性
随机森林,ret_cum_4q,0.03516764196800957,特征重要性
随机森林,RSI,0.04945594864817164,特征重要性
随机森林,trend_return,0.03570338942790063,特征重要性
